,title,price,promo
0,Bantal Sofa 28x67 Cm Long Tiger,179.000, New Arrivals
1,Jam Dinding 59 Cm Z185 - Hitam,699.000, New Arrivals
2,Tanaman Artifisial 16.5 Cm Lidah Buaya Dengan Pot  - Putih/hitam,99.000, New Arrivals
3,Gorden 140x250 Cm Fairytales,590.000, New Arrivals
4,Bantal Sofa 40 Cm Round Hippo,179.000, New Arrivals
5,Jam Dinding 46 Cm K01525 - Hijau,459.000, New Arrivals
6,Gorden 140x250 Cm Bright Skies,590.000, New Arrivals
7,Bantal Sofa 40 Cm Round Monkey - Cokelat,179.000, New Arrivals
8,Pot Tanaman 23 Cm Xy61 - Cokelat,299.000, New Arrivals
9,Hiasan Dinding 40x50 Cm Kanvas Print Whale Xc51,129.000, New Arrivals
10,Bantal Sofa 40 Cm Round Tiger,179.000, New Arrivals
11,Hiasan Dinding 60x80 Cm Kanvas Print Jungle - Hijau,429.000, New Arrivals
12,Keset Memory Foam 70x120 Cm Rax - Abu-abu,399.000, New Arrivals
13,Tanaman Artifisial 18 Cm Monstera Albino,99.000, New Arrivals
14,Hiasan Dinding 45x60 Cm Kanvas Print Shadow Xc11,199.000, New Arrivals
15,Bantal Sofa 30x40 Cm Animal Croco - Hijau,159.000, New Arrivals
16,Hiasan Dinding 35x35 Cm Set 5 Pcs K30 - Hitam/gold,209.300, New Arrivals
17,Jam Dinding 59 Cm Z183r - Merah,699.000, New Arrivals
18,Pot Tanaman 20 Cm Xy69 - Cokelat,199.000, New Arrivals
19,Appetite Set 4 Pcs Lacer Tatakan Piring Octagon - Hitam,119.000, New Arrivals
20,Bantal Sofa 3d 40x40 Cm Hippo,159.000, New Arrivals
21,Bantal Sofa 3d 40x40 Cm Monkey - Cokelat,159.000, New Arrivals
22,Hiasan Dinding 50x50 Cm Set 5 Pcs K08 - Gold,349.300, New Arrivals
23,Bantal Sofa 28x67 Cm Long Croco - Hijau,179.000, New Arrivals
24,Gorden 140x250 Cm Jacquard - Merah Maroon,553.000, New Arrivals
25,Appetite Set 4 Pcs Lacer Tatakan Piring Round - Hitam,119.000, New Arrivals
26,Appetite Set 4 Pcs Lacer Tatakan Piring Round - Rose Gold,119.000, New Arrivals
27,Hiasan Dinding 39x39 Cm Set 5 Pcs K51 - Gold,349.300, New Arrivals
28,Appetite Set 4 Pcs Tatakan Piring Lacer Round - Gold,119.000, New Arrivals
29,Appetite Set 4 Pcs Lacer Tatakan Piring Octagon - Rose Gold,119.000, New Arrivals
30,Sarung Bantal Sofa 55x55 Cm Velvet Red Orange,109.000, New Arrivals
31,Bantal Punggung 33x35 Cm Hippo,259.000, New Arrivals
